symbol,date,price
Wheat,Q4 2017,1
Wheat,Q4 2017,1
Wheat,Q4 2017,1
Wheat,Q4 2017,1
Wheat,Q4 2017,1
Wheat,Q4 2017,1
Wheat,Q4 2017,1
Wheat,Q1 2018,1
Wheat,Q1 2018,1
Wheat,Q1 2018,1
Wheat,Q1 2018,1
Wheat,Q4 2017,1
Wheat,Q4 2017,1
Wheat,Q1 2018,1
Wheat,Q3 2018,1
Wheat,Q1 2019,1
Wheat,Q1 2019,1
Wheat,Q1 2019,1
Wheat,Q1 2019,1
Wheat,Q1 2019,1
Wheat,Q1 2019,1
Wheat,Q1 2019,1
Wheat,Q1 2019,1
Wheat,Q1 2019,1
Wheat,Q1 2019,1
Wheat,Q1 2019,1
Wheat,Q1 2019,1
Wheat,Q1 2019,1
Wheat,Q1 2019,1
Wheat,Q1 2019,1
Wheat,Q1 2019,1
Wheat,Q1 2019,1
Wheat,Q1 2019,1
Wheat,Q1 2019,1
Wheat,Q1 2019,1
Wheat,Q1 2019,1
Maize,Q3 2018,1
Maize,Q3 2018,1
Maize,Q3 2018,1
Maize,Q3 2018,1
Maize,Q3 2018,1
Maize,Q3 2018,1
Maize,Q3 2018,1
Maize,Q3 2018,1
Maize,Q3 2018,1
Maize,Q3 2018,1
Maize,Q3 2018,1
Maize,Q3 2018,1
Maize,Q3 2018,1
Maize,Q3 2018,1
Maize,Q3 2018,1
Maize,Q3 2018,1
Maize,Q3 2018,1
Maize,Q3 2018,1
Maize,Q3 2018,1
Maize,Q3 2018,1
Maize,Q3 2018,1
Maize,Q3 2018,1
Maize,Q3 2018,1
Maize,Q3 2018,1
Maize,Q3 2018,1
Maize,Q3 2018,1
Maize,Q3 2018,1
Maize,Q3 2018,1
Maize,Q3 2018,1
Maize,Q3 2018,1
Maize,Q3 2018,1
Maize,Q3 2018,1
Maize,Q3 2018,1
Maize,Q3 2018,1
Maize,Q3 2018,1
Maize,Q3 2018,1
Maize,Q3 2018,1
Maize,Q4 2017,1
Maize,Q2 2019,1
Maize,Q3 2018,1
Maize,Q4 2017,1
Maize,Q3 2018,1
Maize,Q4 2017,1
Maize,Q4 2017,1
Maize,Q1 2018,1
Maize,Q1 2018,1
Rice,Q4 2017,1
Rice,Q4 2017,1
Rice,Q4 2017,1
Rice,Q4 2017,1
Rice,Q4 2017,1
Rice,Q4 2017,1
Rice,Q4 2017,1
Rice,Q4 2017,1
Rice,Q4 2017,1
Rice,Q4 2017,1
Rice,Q4 2017,1
Rice,Q4 2017,1
Rice,Q4 2017,1
Rice,Q4 2017,1
Rice,Q4 2017,1
Rice,Q1 2018,1
Rice,Q1 2018,1
Rice,Q1 2018,1
Rice,Q1 2018,1
Sorghum,Q4 2017,1
Sorghum,Q4 2017,1
Sorghum,Q4 2017,1
Sorghum,Q1 2018,1
Sorghum,Q3 2018,1
Sorghum,Q3 2018,1
Sorghum,Q3 2018,1
Sorghum,Q3 2018,1
Sorghum,Q3 2018,1
Sorghum,Q3 2018,1
Sorghum,Q3 2018,1
Sorghum,Q3 2018,1
Sorghum,Q4 2018,1
Sorghum,Q1 2019,1
Sorghum,Q4 2018,1
Sorghum,Q1 2019,1
Sorghum,Q4 2018,1
Sorghum,Q1 2019,1
Sorghum,Q4 2018,1
Sorghum,Q1 2019,1
Sorghum,Q4 2018,1
Sorghum,Q1 2019,1
Sorghum,Q4 2018,1
Sorghum,Q4 2018,1
Pearl Millet,Q1 2019,1
Chickpea,Q4 2017,1
Chickpea,Q4 2017,1
Chickpea,Q4 2017,1
Chickpea,Q4 2017,1
Chickpea,Q3 2018,1
Chickpea,Q3 2018,1
Chickpea,Q3 2018,1
Chickpea,Q4 2017,1
Chickpea,Q4 2017,1
Chickpea,Q3 2018,1
Chickpea,Q3 2018,1
Chickpea,Q3 2018,1
Chickpea,Q3 2018,1
Chickpea,Q3 2018,1
Chickpea,Q3 2018,1
Chickpea,Q3 2018,1
Chickpea,Q3 2018,1
Chickpea,Q3 2018,1
Chickpea,Q3 2018,1